事件	时间	方向	价格	止损	止盈	说明
time_decay_sl	06-11 22:08	LONG	108027.14			
time_decay_sl	06-11 22:13	LONG	108189.67			
止损	06-11 22:23	LONG	108189.67	108189.67	109002.31	盈亏 -0.23% | 持仓 26 根 | 入场 108352.2
开仓	06-12 04:02	LONG	107812.30	106949.80	108459.17	原因=signal | 20x杠杆
time_decay_sl	06-12 04:32	LONG	107488.86			
time_decay_sl	06-12 05:02	LONG	107650.58			
止损	06-12 05:02	LONG	107650.58	107650.58	108459.17	盈亏 -0.23% | 持仓 60 根 | 入场 107812.3
开仓	06-12 05:40	LONG	107702.40	106840.78	108348.61	原因=signal | 20x杠杆
time_decay_sl	06-12 06:10	LONG	107379.29			
time_decay_sl	06-12 06:40	LONG	107540.85			
超时平仓	06-12 06:40	LONG	107899.30	107540.85	108348.61	盈亏 +0.10% | 持仓 60 根 | 入场 107702.4
开仓	06-12 06:46	LONG	107850.30	106987.50	108497.40	原因=signal | 20x杠杆
time_decay_sl	06-12 07:16	LONG	107526.75			
止损	06-12 07:40	LONG	107526.75	107526.75	108497.40	盈亏 -0.38% | 持仓 54 根 | 入场 107850.3
开仓	06-12 08:03	LONG	107520.90	106660.73	108166.03	原因=signal | 20x杠杆
time_decay_sl	06-12 08:09	LONG	107198.34			
time_decay_sl	06-12 08:12	LONG	107359.62			
超时平仓	06-12 09:03	LONG	107718.90	107359.62	108166.03	盈亏 +0.10% | 持仓 60 根 | 入场 107520.9
开仓	06-12 11:52	LONG	106981.60	106125.75	107623.49	原因=signal | 20x杠杆
time_decay_sl	06-12 11:58	LONG	106660.66			
time_decay_sl	06-12 12:01	LONG	106821.13			
超时平仓	06-12 12:52	LONG	107132.00	106821.13	107623.49	盈亏 +0.06% | 持仓 60 根 | 入场 106981.6
开仓	06-12 16:28	LONG	107529.80	106669.56	108174.98	原因=signal | 20x杠杆
time_decay_sl	06-12 16:36	LONG	107207.21			
time_decay_sl	06-12 16:39	LONG	107368.51			
tp1_partial	06-12 17:26	LONG	108174.98	107368.51	108174.98	盈亏 +0.52% | 持仓 58 根 | 入场 107529.8
超时平仓	06-12 17:28	LONG	108164.10	107529.80	108174.98	盈亏 +0.51% | 持仓 60 根 | 入场 107529.8
开仓	06-12 22:39	LONG	105776.60	104930.39	106411.26	原因=signal | 20x杠杆
time_decay_sl	06-12 22:44	LONG	105459.27			
time_decay_sl	06-12 22:46	LONG	105617.94			
超时平仓	06-12 23:39	LONG	105956.90	105617.94	106411.26	盈亏 +0.09% | 持仓 60 根 | 入场 105776.6
开仓	06-13 06:06	LONG	103968.70	103136.95	104592.51	原因=signal | 20x杠杆
time_decay_sl	06-13 06:36	LONG	103656.79			
breakeven_sl	06-13 06:51	LONG	103812.75			
tp1_partial	06-13 06:58	LONG	104592.51	103812.75	104592.51	盈亏 +0.52% | 持仓 52 根 | 入场 103968.7
超时平仓	06-13 07:06	LONG	104339.60	103968.70	104592.51	盈亏 +0.28% | 持仓 60 根 | 入场 103968.7
开仓	06-13 08:37	LONG	105008.60	104168.53	105638.65	原因=signal | 20x杠杆
time_decay_sl	06-13 09:07	LONG	104693.57			
止损	06-13 09:07	LONG	104693.57	104693.57	105638.65	盈亏 -0.38% | 持仓 30 根 | 入场 105008.6
开仓	06-13 09:40	SHORT	104645.60	105273.47	103808.44	原因=signal | 20x杠杆
time_decay_sl	06-13 10:06	SHORT	104959.54			
time_decay_sl	06-13 10:16	SHORT	104802.57			
超时平仓	06-13 10:40	SHORT	104779.90	104802.57	103808.44	盈亏 -0.21% | 持仓 60 根 | 入场 104645.6
开仓	06-13 13:13	LONG	104719.50	103881.74	105347.82	原因=signal | 20x杠杆
time_decay_sl	06-13 13:19	LONG	104405.34			
time_decay_sl	06-13 13:22	LONG	104562.42			
止损	06-13 14:04	LONG	104562.42	104562.42	105347.82	盈亏 -0.23% | 持仓 51 根 | 入场 104719.5
开仓	06-13 15:56	LONG	105277.70	104435.48	105909.37	原因=signal | 20x杠杆
time_decay_sl	06-13 16:02	LONG	104961.87			
time_decay_sl	06-13 16:04	LONG	105119.78			
